AKTV,#genre#
中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
寰宇新聞台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8
鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
無線新聞台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
美亞電影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
東森新聞,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
鳳凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
千禧經典台(HK),http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
娛樂新聞台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
PopC,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
黃金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
中視,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8
Channel 5 HD,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8
viutv 99,http://aktv.top/AKTV/live/aktv2/viutv99/AKTV.m3u8
靖天電影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
華視,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
28 AI 智慧賽馬,http://aktv.top/AKTV/live/aktv/28ai/AKTV.m3u8
tvN,http://aktv.top/AKTV/live/aktv/tvn/AKTV.m3u8
龍華電影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv/rockaction/AKTV.m3u8
龍華經典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
viutv6 96,http://aktv.top/AKTV/live/aktv2/viutv696/AKTV.m3u8
Channel U HD,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8
Animax(HK),http://aktv.top/AKTV/live/aktv3/animaxhk/AKTV.m3u8
無線衛星新聞台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8
龍華日韓台,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8
Thrill,http://aktv.top/AKTV/live/aktv3/thrill/AKTV.m3u8
France 24,http://aktv.top/AKTV/live/aktv3/france24/AKTV.m3u8
DW,http://aktv.top/AKTV/live/aktv3/dw/AKTV.m3u8
亞洲新聞台,http://aktv.top/AKTV/live/aktv3/null-3/AKTV.m3u8
東方衛視國際頻道,http://aktv.top/AKTV/live/aktv3/null/AKTV.m3u8
KIX,http://aktv.top/AKTV/live/aktv3/kix/AKTV.m3u8
Nick Jr,http://aktv.top/AKTV/live/aktv3/nickjr/AKTV.m3u8
Nickelodeon,http://aktv.top/AKTV/live/aktv3/nickelodeon/AKTV.m3u8
AXN,http://aktv.top/AKTV/live/aktv2/axn/AKTV.m3u8
i-Fun 動漫台,http://aktv.top/AKTV/live/aktv2/ifun/AKTV.m3u8
NHK World-Japan,http://aktv.top/AKTV/live/aktv3/nhkworldjapan/AKTV.m3u8
ZooMoo,http://aktv.top/AKTV/live/aktv3/zoomoo/AKTV.m3u8
NHK東京総合,http://aktv.top/AKTV/live/aktv3/nhk/AKTV.m3u8
Love Nature HD,http://aktv.top/AKTV/live/aktv3/lovenaturehd/AKTV.m3u8
Love Nature HD,http://aktv.top/AKTV/live/aktv2/lovenaturehd/AKTV.m3u8
Astro iQIYI,http://aktv.top/AKTV/live/aktv3/astroiqiyi/AKTV.m3u8
Astro Xing He,http://aktv.top/AKTV/live/aktv3/astroxinghe/AKTV.m3u8
Astro AEC,http://aktv.top/AKTV/live/aktv3/astroaec/AKTV.m3u8
纬来体育台,http://aktv.top/AKTV/live/aktv3/null-1/AKTV.m3u8
央视频道,#genre#
CCTV1,http://113.64.197.132:6633/udp/239.77.1.17:5146
CCTV1,http://113.64.197.132:6633/udp/239.77.1.144:5146
CCTV1,http://113.64.197.132:6633/udp/239.77.0.119:5146
CCTV1,http://113.64.197.132:6633/udp/239.77.0.86:5146
CCTV1,http://113.64.197.132:6633/udp/239.77.0.129:5146
CCTV1,http://113.64.197.132:6633/udp/239.77.0.14:5146
CCTV1,http://113.64.197.132:6633/udp/239.77.0.30:5146
CCTV2,http://113.64.197.132:6633/udp/239.77.1.158:5146
CCTV2,http://113.64.197.132:6633/udp/239.77.0.137:5146
CCTV3,http://113.64.197.132:6633/udp/239.77.0.169:5146
CCTV4,http://113.64.197.132:6633/udp/239.77.1.163:5146
CCTV4,http://113.64.197.132:6633/udp/239.77.1.166:5146
CCTV4,http://113.64.197.132:6633/udp/239.77.0.78:5146
CCTV4K,http://113.64.197.132:6633/udp/239.77.0.194:5146
CCTV4K,http://113.64.197.132:6633/udp/239.77.0.174:5146
CCTV4K,http://113.64.197.132:6633/udp/239.77.1.180:5146
CCTV4美洲,http://113.64.197.132:6633/udp/239.253.43.121:5146
CCTV4欧洲,http://113.64.197.132:6633/udp/239.253.43.120:5146
CCTV5,http://113.64.197.132:6633/udp/239.77.0.170:5146
CCTV5+,http://113.64.197.132:6633/udp/239.77.0.87:5146
CCTV5+,http://113.64.197.132:6633/udp/239.77.1.31:5146
CCTV6,http://113.64.197.132:6633/udp/239.77.0.171:5146
CCTV7,http://113.64.197.132:6633/udp/239.77.1.159:5146
CCTV7,http://113.64.197.132:6633/udp/239.77.1.167:5146
CCTV7,http://113.64.197.132:6633/udp/239.77.0.138:5146
CCTV8,http://113.64.197.132:6633/udp/239.77.0.172:5146
CCTV8K,http://113.64.197.132:6633/udp/239.253.43.106:5146
CCTV9,http://113.64.197.132:6633/udp/239.77.0.135:5146
CCTV9,http://113.64.197.132:6633/udp/239.77.1.160:5146
CCTV10,http://113.64.197.132:6633/udp/239.77.1.113:5146
CCTV10,http://113.64.197.132:6633/udp/239.77.0.134:5146
CCTV11,http://113.64.197.132:6633/udp/239.77.1.238:5146
CCTV11,http://113.64.197.132:6633/udp/239.77.1.108:5146
CCTV12,http://113.64.197.132:6633/udp/239.77.1.109:5146
CCTV12,http://113.64.197.132:6633/udp/239.77.0.136:5146
CCTV13,http://113.64.197.132:6633/udp/239.77.0.188:5146
CCTV13,http://113.64.197.132:6633/udp/239.253.43.196:5146
CCTV14,http://113.64.197.132:6633/udp/239.77.1.161:5146
CCTV14,http://113.64.197.132:6633/udp/239.77.0.133:5146
CCTV15,http://113.64.197.132:6633/udp/239.77.1.239:5146
CCTV15,http://113.64.197.132:6633/udp/239.77.1.120:5146
CCTV16,http://113.64.197.132:6633/udp/239.77.0.165:5146
CCTV16,http://113.64.197.132:6633/udp/239.77.1.76:5146
CCTV17,http://113.64.197.132:6633/udp/239.77.1.121:5146
CCTV17,http://113.64.197.132:6633/udp/239.77.0.198:5146
CHC影迷电影,http://113.64.197.132:6633/udp/239.77.0.27:5146
CCTV世界地理,http://113.64.197.132:6633/udp/239.253.43.24:5146
CCTV世界地理,http://113.64.197.132:6633/udp/239.253.43.7:5146
CCTV兵器科技,http://113.64.197.132:6633/udp/239.253.43.18:5146
CCTV兵器科技,http://113.64.197.132:6633/udp/239.253.43.9:5146
CCTV央视台球,http://113.64.197.132:6633/udp/239.253.43.21:5146
CCTV央视台球,http://113.64.197.132:6633/udp/239.253.43.11:5146
CCTV女性时尚,http://113.64.197.132:6633/udp/239.253.43.23:5146
CCTV女性时尚,http://113.64.197.132:6633/udp/239.253.43.8:5146
CCTV怀旧剧场,http://113.64.197.132:6633/udp/239.253.43.25:5146
CCTV怀旧剧场,http://113.64.197.132:6633/udp/239.253.43.5:5146
CCTV第一剧场,http://113.64.197.132:6633/udp/239.253.43.28:5146
CCTV第一剧场,http://113.64.197.132:6633/udp/239.253.43.15:5146
CCTV风云剧场,http://113.64.197.132:6633/udp/239.253.43.26:5146
CCTV风云剧场,http://113.64.197.132:6633/udp/239.253.43.16:5146
CCTV风云足球,http://113.64.197.132:6633/udp/239.253.43.20:5146
CCTV风云足球,http://113.64.197.132:6633/udp/239.253.43.14:5146
CCTV风云音乐,http://113.64.197.132:6633/udp/239.253.43.29:5146
CCTV风云音乐,http://113.64.197.132:6633/udp/239.253.43.6:5146
CCTV电视指南,http://113.64.197.132:6633/udp/239.253.43.19:5146
CCTV电视指南,http://113.64.197.132:6633/udp/239.253.43.10:5146
CCTV高尔夫网球,http://113.64.197.132:6633/udp/239.253.43.22:5146
CCTV高尔夫网球,http://113.64.197.132:6633/udp/239.253.43.12:5146
CCTV央视文化精品,http://113.64.197.132:6633/udp/239.253.43.27:5146
CCTV央视文化精品,http://113.64.197.132:6633/udp/239.253.43.13:5146
CCTV老故事,http://113.64.197.132:6633/udp/239.77.0.220:5146
CCTV老故事,http://113.64.197.132:6633/udp/239.77.1.197:5146
CCTV中学生,http://113.64.197.132:6633/udp/239.77.1.195:5146
CCTV发现之旅,http://113.64.197.132:6633/udp/239.77.1.112:5146
CETV1,http://113.64.197.132:6633/udp/239.77.1.222:5146
CETV1,http://113.64.197.132:6633/udp/239.77.0.200:5146
CETV2,http://113.64.197.132:6633/udp/239.77.0.28:5146
CETV2,http://113.64.197.132:6633/udp/239.77.1.69:5146
CETV4,http://113.64.197.132:6633/udp/239.77.1.200:5146
CETV4,http://113.64.197.132:6633/udp/239.253.43.40:5146
CETV4,http://113.64.197.132:6633/udp/239.253.43.114:5146
早期教育,http://113.64.197.132:6633/udp/239.77.0.180:5146
中国交通,http://113.64.197.132:6633/udp/239.77.1.249:5146
中国天气,http://113.64.197.132:6633/udp/239.77.1.143:5146
CGTN英语,http://113.64.197.132:6633/udp/239.77.0.199:5146
CGTN Documentary,http://113.64.197.132:6633/udp/239.253.43.122:5146
CGTN西班牙语,http://113.64.197.132:6633/udp/239.77.0.221:5146
CGTN法语,http://113.64.197.132:6633/udp/239.77.0.228:5146
CGTN阿拉伯语,http://113.64.197.132:6633/udp/239.253.43.200:5146
CGTN俄语,http://113.64.197.132:6633/udp/239.253.43.201:5146
卫视频道,#genre#
湖南卫视,http://113.64.197.132:6633/udp/239.77.1.5:5146
湖南卫视,http://113.64.197.132:6633/udp/239.77.0.88:5146
