央视频道,#genre#
CCTV1,http://119.34.190.113:2911/udp/224.1.100.90:11111
CCTV2,http://119.34.190.113:2911/udp/224.1.100.192:11111
CCTV2,http://119.34.190.113:2911/udp/224.1.100.94:11111
CCTV3,http://119.34.190.113:2911/udp/224.1.100.64:11111
CCTV4,http://119.34.190.113:2911/udp/224.1.100.104:11111
CCTV5,http://119.34.190.113:2911/udp/224.1.100.193:11111
CCTV5,http://119.34.190.113:2911/udp/224.1.100.82:11111
CCTV5+,http://119.34.190.113:2911/udp/224.1.100.196:11111
CCTV5+,http://119.34.190.113:2911/udp/224.1.100.25:11111
CCTV6,http://119.34.190.113:2911/udp/224.1.100.194:11111
CCTV6,http://119.34.190.113:2911/udp/224.1.100.84:11111
CCTV7,http://119.34.190.113:2911/udp/224.1.100.27:11111
CCTV8,http://119.34.190.113:2911/udp/224.1.100.86:11111
CCTV9,http://119.34.190.113:2911/udp/224.1.100.29:11111
CCTV10,http://119.34.190.113:2911/udp/224.1.100.76:11111
CCTV11,http://119.34.190.113:2911/udp/224.1.100.44:11111
CCTV12,http://119.34.190.113:2911/udp/224.1.100.78:11111
CCTV13,http://119.34.190.113:2911/udp/224.1.100.69:11111
CCTV14,http://119.34.190.113:2911/udp/224.1.100.80:11111
CCTV15,http://119.34.190.113:2911/udp/224.1.100.42:11111
CCTV17,http://119.34.190.113:2911/udp/224.1.100.135:11111
CHC动作电影,http://119.34.190.113:2911/udp/224.1.100.131:11111
CETV1,http://119.34.190.113:2911/udp/224.1.100.107:11111
CETV4,http://119.34.190.113:2911/udp/224.1.100.109:11111
CGTN西班牙语,http://119.34.190.113:2911/udp/224.1.100.142:11111
CGTN法语,http://119.34.190.113:2911/udp/224.1.100.147:11111
CGTN俄语,http://119.34.190.113:2911/udp/224.1.100.137:11111
CGTN俄语,http://119.34.190.113:2911/udp/224.1.100.140:11111
卫视频道,#genre#
湖南卫视,http://119.34.190.113:2911/udp/224.1.100.98:11111
浙江卫视,http://119.34.190.113:2911/udp/224.1.100.52:11111
江苏卫视,http://119.34.190.113:2911/udp/224.1.100.46:11111
广东卫视,http://119.34.190.113:2911/udp/224.1.100.96:11111
深圳卫视,http://119.34.190.113:2911/udp/224.1.100.40:11111
东方卫视,http://119.34.190.113:2911/udp/224.1.100.48:11111
北京卫视,http://119.34.190.113:2911/udp/224.1.100.100:11111
天津卫视,http://119.34.190.113:2911/udp/224.1.100.62:11111
大湾区卫视,http://119.34.190.113:2911/udp/224.1.100.153:11111
山东卫视,http://119.34.190.113:2911/udp/224.1.100.50:11111
湖北卫视,http://119.34.190.113:2911/udp/224.1.100.68:11111
四川卫视,http://119.34.190.113:2911/udp/224.1.100.72:11111
重庆卫视,http://119.34.190.113:2911/udp/224.1.100.102:11111
安徽卫视,http://119.34.190.113:2911/udp/224.1.100.66:11111
黑龙江卫视,http://119.34.190.113:2911/udp/224.1.100.139:11111
东南卫视,http://119.34.190.113:2911/udp/224.1.100.56:11111
河南卫视,http://119.34.190.113:2911/udp/224.1.100.74:11111
河北卫视,http://119.34.190.113:2911/udp/224.1.100.19:11111
辽宁卫视,http://119.34.190.113:2911/udp/224.1.100.92:11111
广西卫视,http://119.34.190.113:2911/udp/224.1.100.110:11111
江西卫视,http://119.34.190.113:2911/udp/224.1.100.54:11111
贵州卫视,http://119.34.190.113:2911/udp/224.1.100.58:11111
海南卫视,http://119.34.190.113:2911/udp/224.1.100.15:11111
吉林卫视,http://119.34.190.113:2911/udp/224.1.100.60:11111
翡翠台,http://119.34.190.113:2911/udp/224.1.100.121:11111
云南卫视,http://119.34.190.113:2911/udp/224.1.100.21:11111
青海卫视,http://119.34.190.113:2911/udp/224.1.100.127:11111
甘肃卫视,http://119.34.190.113:2911/udp/224.1.100.10:11111
三沙卫视,http://119.34.190.113:2911/udp/224.1.100.148:11111
金鹰卡通,http://119.34.190.113:2911/udp/224.1.100.113:11111
明珠台,http://119.34.190.113:2911/udp/224.1.100.123:11111
嘉佳卡通,http://119.34.190.113:2911/udp/224.1.100.144:11111
茶频道,http://119.34.190.113:2911/udp/224.1.100.117:11111
广东频道,#genre#
广东珠江,http://119.34.190.113:2911/udp/224.1.100.191:11111
广东珠江,http://119.34.190.113:2911/udp/224.1.100.23:11111
广东民生,http://119.34.190.113:2911/udp/224.1.100.152:11111
广东体育,http://119.34.190.113:2911/udp/224.1.100.34:11111
广州综合,http://119.34.190.113:2911/udp/224.1.100.36:11111
广州新闻,http://119.34.190.113:2911/udp/224.1.100.38:11111
广州影视,http://119.34.190.113:2911/udp/224.1.100.88:11111
广州竞赛,http://119.34.190.113:2911/udp/224.1.100.105:11111

